field_1,well_id,Alkalinity,Alkalinity_Total,ANC,As,Ba,Be,Bicarbonate,Br-,Ca,Carbonate,Cd,Cl,Cl-,CO2,Conductivity,Cr,Cyanide,DO,ElectricalConductivity,"Gross alpha, 2-sigma combined uncertainty",GrossAlpha,GrossAlpha_U_Nat,GrossBeta,GrossBeta_Cs137,GrossBeta_Sr_Y90,Hardness,Hardness_Total,Hg,HydrogenIon,Hydroxide,K,Mg,Mn,Na,Na_AdsorptionRatio,Na_FractionCations,Na_K,Nitrate,Nitrate_Nitrite,NO2-,NO3-,Noncarbonate_Hardness,ORP,Pb,Ra_226,"Ra_226, 2-sigma combined uncertainty",Ra_228,"Ra_228, 2-sigma combined uncertainty",Ra_Total,Sb,Se,SpecificConductance,Temperature,Tl,Turbidity,U
474,1102,,,,1.401018808,,,,,30.66844308,,,,2.78316143,,,,,,,,,,,,,,,,,,1.084717087,2.531375611,1.593995324,3.396588952,,,,3.73336608,,,,,,,,,,,,,,,,,,0.919071815
475,1111,,,,1.87043353,,,,,27.8997912,,,,,,,,,,,,,,,,,,,,,,,4.295816559,0.911924908,,,,,,,,,,,,,,,,,,,,,,,0.378649224
476,1117,,,,2.519389878,,,,,,,0.138753959,,,,,0.71339741,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696487529,,,,,,0.123639477,,,,,,1.174826485
477,1150,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,0.65,,1.01,,1.66,,,,,,,5.373134328
478,1180,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22
479,1181,,,,9.949842058,,,,,13.97695687,,0.138753959,,5.20377758,,,0.197713601,,,,,,,,,,,,,,,2.230221855,6.453537915,,21.24504489,,,,4.23047478,,,,,,0.066418355,,,,,,0.253152193,13.51608104,,,,,3.093630159
480,1187,,,,1.555039976,,,,,20.36815287,,,,8.92891028,,,,,,,,,,,,,,,,,,1.440214771,4.103402617,1.220080452,16.5903379,,,,6.23821839,,,,,,,,,,,,,,,,,,0.778705846
481,1193,,,,2.063817121,,,,,21.91894783,,,,,,,,,,,,,,,,,,,,,,0,1.910889752,,0,,,,,,,,,,,,,,,,,,,,,,0.758738913
482,1194,,,,1.208650361,,,,,16.51521355,,,,12.91053552,,,,,,,,,,,,,,,,,,1.679331965,5.185595759,0.510012842,12.98780735,,,,2.7909553,,,,,,,,,,,,,,,,,,0.679147293
483,1195,,,,1.7541543,,,,,28.40778361,,0.138753959,,38.85855376,,,0.797012595,,,,,,,,,,,,,,,1.922550653,11.4425563,,31.99268215,,,,20.5855995,,,,,,0.24083441,,,,,,0.123639477,,,,,,4.622876379
484,1197,,,,1.620338005,,,,,30.65440129,,,,7.52282827,,,,,,,,,,,,,,,,,,2.700809756,13.29239469,,39.44313541,,,,0.66942006,,,,,,,,,,,,,,,,,,0.534255316
485,1198,,,,22.22698876,,,,,88.60620017,,0.138753959,,1413.728399,,,0.340453867,,,,,,,,,,,,,,,0,53.36986118,,0,,,,51.47212342,,,,,,0.066418355,,,,,,0.256616515,22.07537624,,,,,3.233543266
486,1199,,,,2.589429437,,,,,19.63051176,,,,,,,,,,,,,,,,,,,,,,,7.93233331,2.788886516,,,,,,,,,,,,,,,,,,,,,,,0.614704286
487,1201,,,,1.662643616,,,,,14.03509779,,,,,,,,,,,,,,,,,,,,,,,12.55055037,0.971236419,,,,,,,,,,,,,,,,,,,,,,,1.564943877
488,1224,,,,4.143035125,,,,,28.35089292,,0.138753959,,,,,0.685388795,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,0.056781058,,,,,,0.123639477,,,,,,3.584880714
489,1225,,,,13.13490884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.3732461
490,1226,,,,5.27612086,,,,,16.22322118,,,,,,,,,,,,,,,,,,,,,,,3.78542824,1.969993287,,,,,,,,,,,,,,,,,,,,,,,2.872997651
491,1229,,,,2.3411231,,,,,37.69690935,,,,13.06946929,,,,,,,,,,,,,,,,,,0.733795823,5.515452969,1.506220444,35.7507986,,,,38.13012095,,,,,,,,,,,,,,,,,,4.997810191
492,1230,,,,11.86804769,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1.157639328
493,1239,,,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.01
494,1240,,,,14.5494409,,,,,38.19532487,,,,45.84635852,,,,,,,,,,,,,,,,,,11.80876384,16.40976746,1.677805781,54.15261864,,,,237.5641798,,,,,,,,,,,,,,,,,,20.9942577
495,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.373134328
496,1263,,,,1,7,1,,,800,,1,,,,,20,,7,2.83,,,,,,,,,,,,8.8,160,320,200,,,,,,,0.36,,,1,,,,,,,1,,23,,0,7
497,1264,,,,1.44413852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03217715
498,1265,,,,6.111343852,,,,,,,0.138753959,,,,,0.143131185,,,,0.1325,0.3,,,,,,,,,,,,,,,,,,,,,,,0.066418355,0.26,,0.44,,0.7,0.493997558,25.5124462,,,,,0.640153819
499,1267,,,,3.296158566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.737787977
500,1276,,,,2.1750688,,,,,,,0.138753959,,,,,0.275410841,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066418355,,,,,,0.237971445,29.13453605,,,,,0.72501757
501,1277,,,,62.11937254,,,,,,,0.138753959,,,,,0.340165017,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066418355,,,,,,0.242210699,16.289544,,,,,0.861248291
502,1278,,,,1.735597366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57074669
503,1281,,,,5.962556076,,0,,,,,0.138753959,,,,,1.105335644,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066418355,,,,,,0.408108752,17.92352171,,,,,0.97138588
504,1284,,,,0.121203103,,,,,,,0.138753959,,,,,0.485414819,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.410621685,,,,,,0.123639477,,,,,,0.318301552
505,1289,,,,1,10,1,,,970,,1,,,,,20,,7,2.1,,,,,,,,,,,,6.6,110,760,25,,,,,,,0.1,,,1,,,,,,0.123639477,1,,19.8,,80,1
506,1294,,,,0.473531871,,,,,,,0.138753959,,,,,0.395803598,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056781058,,,,,,0.123639477,,,,,,0.2045567
507,1298,,288,,26,7.5,1,,,8.7,,1,,23.1,,2450,20,,5,2.34,,1.83,,4.15,,,18,19.6,0.015,,,3.05,1.15,6.8,560,,,,,,0.05,0.1,,,2,0.524,,-0.193,,0.524,0.5,4,,15.3,1,2.08,1
508,1304,,,,0.199132584,,,,,,,0.138753959,,,,,0.397034777,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056781058,,,,,,0.123639477,,,,,,0.19735617
509,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.029850746
510,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47761194
511,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.328358209
512,1325,,,,0.954806546,,,,,76.59521843,,0.138753959,,25.55602601,,,1.123793506,,,,,,,,,,,,,,,2.180932903,42.75121086,,28.53974075,,,,2.79176126,,,,,,0.066418355,,,,,,0.220145957,19.46142848,,,,,4.328358209
513,1328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.776119403
514,1348,,,,12.4108928,,,,,87.90649926,,0.521493297,,585.7099361,,,3.008687407,,,,,,,,,,,,,,,0,54.5886325,,0,,,,0,,,,,,0.066418355,,,,,,0.211381184,21.85442359,,,,,5.18435294
515,1350,,,,6.767352174,,,,,87.47557593,,0.244008953,,310.7677403,,,0.991031368,,,,,,,,,,,,,,,2.83552201,46.11508605,,185.9571983,,,,6.61532195,,,,,,0.066418355,,,,,,0.233986102,17.97542921,,,,,4.617574003
516,1355,,,,9.184983046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
517,1371,,,,2.456941976,,,,,92.53779818,,0.138753959,,,,,0.506217228,,,,,,,,,,,,,,,0,41.98194788,,0,,,,,,,,,,0.066418355,,,,,,0.214230524,17.43552627,,,,,4.925373134
518,1372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.074626866
519,1381,,,,7.373903294,,,,,86.7132208,,0.138753959,,288.3821412,,,0.902553151,,,,,,,,,,,,,,,0,50.11303323,,0,,,,5.89179778,,,,,,0.066418355,,,,,,0.230566473,20.80742011,,,,,3.880597015
520,1394,,,,3.885951948,,,,,80.41834653,,0.138753959,,177.0182782,,,0.723553636,,,,,,,,,,,,,,,2.367289351,51.14230004,,214.2792042,,,,5.77000684,,,,,,0.066418355,,,,,,0.283926657,17.1735356,,,,,3.592795775
521,1396,,,,1.060209341,,,,,7.088345894,,0.138753959,,54.79542267,,,1.705222715,,,,,,,,,,,,,,,0,49.90838655,,0,,,,1.94256731,,,,,,0.066418355,,,,,,0.237658199,30.23971851,,,,,5.399374111
522,1397,,,,11.95880395,,,,,92.3239617,,0.138753959,,406.1126585,,,1.240014284,,,,,,,,,,,,,,,3.015177356,53.15988675,,262.7293408,,,,10.66477539,,,,,,0.066418355,,,,,,0.27974977,18.2432988,,,,,4.328358209
523,1403,,,,39.42769655,,,,,46.80020688,,0.138753959,,1588.33744,,,0.108638354,,,,,,,,,,,,,,,1.83374604,44.82874485,,77.4512345,,,,47.08060352,,,,,,0.066418355,,,,,,0.380571814,25.62073406,,,,,2.007808241
524,1424,,,,16.59183156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
525,1425,,,,3.444808353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94
526,1429,,,,7.27175542,,0,,,,,0.138753959,,,,,0.72363055,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098096122,,,,,,0.299598905,30.64528513,,,,,9.98
527,1434,,,,7.95184688,,,,,,,0.138753959,,,,,0.372054793,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26258087,,,,,,0.465733047,15.450536,,,,,0.928749494
528,1437,,,,5.861996711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71
529,1439,,,,5.372950684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58871969
530,1459,,,,16.91251686,,,,,,,0.138753959,,,,,1.663967137,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066418355,,,,,,0.347081652,97.74872783,,,,,34.95057041
531,1472,,,,3.845781158,,,,,,,0.138753959,,,,,0.453540544,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.107918306,,,,,,0.123639477,,,,,,10.37051669
532,1475,,,,7.728774808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36
533,1504,,,,5.387816068,,,,,,,0.138753959,,,,,0.279437224,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136158094,,,,,,0.314334162,16.5535518,,,,,7.438173657
534,1528,,,,2.981333455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.96005889
535,1530,,,135.5,,,,165,,75.7,0,,,33.8,4.2,,,,,,,,,,,,231,,,2.00E-05,,1.69,27.4,4,40.7,1.02,23,,,,,3.5,21,,,,,,,,,,541,15.5,,,
536,1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,8.5,,,
537,1532,,,163,,,,,,64.8,,,,12.5,1.6,,,,,,,,,,,,209,,,1.00E-05,,1.18,11.5,4,13.1,0.4,12,,,,,,,,,,,,,,,,460,9.25,,,
538,1533,,,207,,,,252,,69,0,,,19,,,,,,,,,,,,,240,,,,,,16,,,0.7,18,23,,,,6.2,32,,,,,,,,,,538,19,,,
539,1534,,,192.5,,,,252,,70.45,0,,,21.05,2.7,,,,,,,,,,,,245,,,1.00E-05,,1.44,16.55,4,22.4,0.66,17,23,,,,6.2,32,,,,,,,,,,549,19,,,
540,1538,,,,0.821714333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.662346944
541,1539,,,178,,,,,,143,,,,28.1,8.7,,,,,,,,,,,,583,,,3.00E-05,,7.49,54.8,4,65.1,1.17,19,,,,,,,,,,,,,,,,1250,17.5,,,
542,1544,,,207,,,,,,123,,,,16.4,20,,,,,,,,,,,,498,,,5.00E-05,,4.24,46.3,4,33.2,0.65,13,,,,,,,,,,,,,,,,989,17.5,,,
543,1554,,,109,,,,132.5,,412.5,0,,,21.5,2.9,,,,,,,,,,,,1700,,,2.00E-05,,6.4,158.5,,141,1.4,14,120,,,,2.5,1550,,,,,,,,,,2800,19.25,,,
544,1557,,,195,,,,238,,84,0,,,42,,,,,,,,,,,,,260,,,,,,13,,,1.5,32,58,,,,3.1,68,,,,,,,,,,712,25,,,
545,1558,,,145.5,,,,182,,75.05,0,,,18.15,2.7,,,,,,,,,,,,229,,,1.00E-05,,1.96,9.7,4,22.7,0.71,19,26,,,,4.2,48,,,,,,,,,,589,18.25,,,
546,1564,,,149,,,,,,63.3,,,,4.21,5.8,,,,,,,,,,,,177,,,2.00E-05,,0.91,4.68,4,4.72,0.15,5,,,,,,,,,,,,,,,,364,20,,,
547,1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,12,,,
548,1567,,,,1.376916717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79
549,1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,25,,,
550,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,25.5,,,
551,1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,26,,,
552,1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110,21,,,
553,1573,,,199,,,,,,241,,,,53.5,7.7,,,,,,,,,,,,934,,,2.00E-05,,6.15,80.7,17.7,194,2.77,31,,,,,,,,,,,,,,,,2060,18,,,
554,1576,348,,338,,100,,425,3.1,290,,,,4900,22,,,,,,,,,,,,1230,,,3.00E-05,,42,120,130,5400,67.3,90,,,,,,882,,,,,,,,,,20700,20,,,
555,1581,,,,3,5,1,,,3,,1,,,,,20,,5,0.358,,,,,,,,,,,,0.77,0.07,12,110,,,,,,,0.86,,,1,,,,,,,1,,26.4,,10,3
556,1582,,,203,,,,224.5,,206,10.5,,,59.7,,,,,,,,,,,,,900,,,,,5.1,94,14.4,154,1.7,20,81.5,,,,2.1,545,,,,,,,,,,2050,16.25,,,
557,1587,,,,2.392556432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92304265
558,1588,,288,,11,19,0.25,,,24,,0.5,,28.4,,890,0.5,,,,,128,,62,,,310,304,0.015,,,10,68.1,4.3,92,,,,,,0.05,0.05,,,1,8.62,,0.948,,9.568,0.5,0.5,,8.21,1,1.31,130
559,1590,,109,,1.699648355,62,0.25,,,26,,0.5,,3.36,,246,0.5,,,,,2.2265,,5.88,,,,98,0.015,,,2.7,8.27,2.2,13,,,,,,,0.99,,,1,0.01,,0.241,,0.251,0.5,0.56,,13.2,1,1.58,4.11
560,1591,,,,5.22299711,,0,,,,,0.138753959,,,,,1.250872945,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352409464,,,,,,0.355438337,11.58798257,,,,,2.316156765
561,1629,,,141,,,,174,,298,0,,,17.35,11,,,,,,,,,,,,1254.5,,,4.00E-05,,4.02,118.75,4,42,0.97,11.5,120,,,,2.5,1500,,,,,,,,,,1520,25.75,,,
562,1631,,,271,,,,330,,585,0,,,72,53,,,,,,,,,,,,1900,,,1.00E-04,,,112,,,2,19,200,,,,0.7,1600,,,,,,,,,,3280,,,,
563,1736,,,,12.79006743,,,,,,,0.138753959,,,,,0.474940159,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.523003779,,,,,,0.123639477,,,,,,3.1
564,1739,,,121,,,,148,,7.1,0,,,9,,,,,,,,,,,,,31,,,,,,3.3,,,5.2,82,67,,,,1.6,0,,,,,,,,,,329,17.5,,,
565,1747,,,159,,,,194,,17,0,,,6,,,,,,,,,,,,,62,,,,,,4.6,,,3.5,69,64,,,,0.1,0,,,,,,,,,,364,16.5,,,
566,1752,,,,8,98,1,,,34,,1,,,,,20,,4,0.308,,,,,,,,,,,,2.4,5.5,2,60,,,,,,,1.1,,,1,,,,,,,1,,20.4,,3,9
567,1753,,,,1,72,1,,,34,,1,,,,,20,,10,0.213,,,,,,,,,,,,1.2,6.8,3,21,,,,,,,1.6,,,1,,,,,,,1,,20.4,,10,3
568,1770,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76
569,1775,,,413,,100,,,0.45,11,,,,360,1.2,,,,,,,,,,,,54.5,,,,,5.5,6.2,,990,59.2,97,,,,,,,,,,,,,,,,4350,20.75,,,
570,1776,,,,1,130,1,,,6,,1,,,,,20,,1,0.289,,,,,,,,,,,,2,0.5,14,77,,,,,,,0.1,,,1,,,,,,,1,,23.7,,0,1
571,1798,,,,6.03227124,,0,,,,,0.138753959,,,,,0.248664441,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.699701122,,,,,,0.272745943,11.88706436,,,,,1.816832067
572,1812,,,89,,,,,,23,,,,4.6,1.4,,,,,,,,,,,,97,,,1.00E-05,,1.3,9.5,,14,0.7,24,,,0.16,,,8,,,,,,,,,,227.5,14.5,,,
573,1817,,,475,,3,,,0.2,2.5,,,,53,2.2,,,,,,,,,,,,10.4,,,,,2.8,0.95,10,310,42.3,98,,,,,,,,,,,,,,,,1410,15.75,,,
574,1819,,,210,23,,,,,13,,,,3.3,0.8,,,,,,,,,,,,45,,,,,2.1,3.1,,88,6,80,,,,,,0,,,,,,,,,,465.5,18,,,
575,1820,340,,353.5,,6,,341,0.12,1.15,40.5,,,20.5,0.6,,,,,,,,,,,,4.92,,,,,0.85,0.505,10,192.5,38.8,98,,,,,0.5,0,,,,,,,,,,840,16.5,,,
576,1823,516,,517.5,,100,,638.5,1,51,,,,1300,51,,,,,,,,,,,,296,,,5.00E-05,,34,38,140,2000,51.9,93,2100,,,,,0,,,,,,,,,,9080,18.25,,,
577,1824,399,,461,4,100,,519,0.28,7,16,,,255,2,,,,,,,,,,,,26.6,,,,0,8,3.1,20,663,57.5,97.5,700,,,,1.3,0,,,,,,,,,,2820,19,,1,
578,1828,,,,2.754521451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
579,1832,,,181,,,,221,,29,0,,,7,,,,,,,,,,,,,86,,,,,,3.3,,,2.7,59,58,,,,0.8,0,,,,,,,,,,388,16.5,,,
580,1834,,,112,,,,136,,33,0,,,13,,,,,,,,,,,,,140,,,,,,13,,,1,31,28,,,,18,24,,,,,,,,,,384,14.5,,,
581,1835,,,214,,,,261,,34,0,,,33,,,,,,,,,,,,,120,,,,,,7.6,,,4.6,68,110,,,,11,0,,,,,,,,,,679,16.5,,,
582,1836,,,163,,,,199,,70,0,,,11,,,,,,,,,,,,,260,,,,,,22,,,3.6,52,130,,,,0.6,100,,,,,,,,,,1030,17,,,
583,1837,,,160,,,,195,,9.5,0,,,16,,,,,,,,,,,,,64,,,,,,10,,,3.2,0,58,,,,6.5,0,,,,,,,,,,354,17,,,
584,1838,,,122,,,,149,,43,0,,,13,,,,,,,,,,,,,150,,,,,,9.7,,,0.9,26,24,,,,2.4,26,,,,,,,,,,384,14.5,,,
585,1840,,,204,,,,249,,46,0,,,12,,,,,,,,,,,,,180,,,,,,17,,,1.2,30,37,,,,25,0,,,,,,,,,,506,19,,,
586,1841,,,104,,,,127,,36,0,,,10,,,,,,,,,,,,,120,,,,,,8.3,,,1,32,27,,,,21,20,,,,,,,,,,359,14.5,,,
587,1850,416,,411,,100,,508,1.5,90,,,,4200,16,,,,,,,,,,,,551,,,2.00E-05,,29,76,70,3600,68.2,93,,,,,,,,,,,,,,,,17800,18.5,,,
588,1862,,,,1.81913957,22,1,,,220,,1,,,,,20,,5,0.637,,,,,,,,,,,,6.5,31,66,21,,,,,,,0.1,,,1,,,,,,0.213979949,15.03697156,,23.8,,6,1
589,1864,,,,1,43,1,,,86,,1,,,,,20,,6,0.512,,,,,,,,,,,,4.7,9.1,3,93,,,,,,,0.1,,,1,,,,,,,1,,22.2,,5,12
590,1871,,,,1.425051819,70,1,,,130,,1,,,,,20,,10,0.41,,,,,,,,,,,,6.8,17,90,13,,,,,,,0.1,,,1,,,,,,0.207237601,15.16594828,,22.4,,3,2.061797502
591,1872,,,,1,16,1,,,26,,1,,,,,20,,6,0.583,,,,,,,,,,,,11,18,4,130,,,,,,,0.1,,,1,,,,,,,1,,23.5,,-10,32
592,1873,,,,2,60,1,,,99,,1,,,,,20,,6,0.484,,,,,,,,,,,,5.6,17,4,49,,,,,,,0.1,,,1,,,,,,,1,,20.5,,11,10
593,1875,,,,1,86,1,,,110,,1,,,,,20,,6,0.543,,,,,,,,,,,,3.8,12,2,76,,,,,,,0.1,,,1,,,,,,,1,,21.5,,5,12
594,1885,,,,1,29,1,,,49,,1,,,,,20,,9,0.431,,,,,,,,,,,,3.6,6.6,6,76,,,,,,,1.2,,,1,,,,,,,5,,21.9,,3,21
595,1888,,,,1.29243852,,,,,,,0.138753959,,,,,0.119875034,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066418355,,,,,,0.239106887,12.0117111,,,,,7.203859346
596,1894,,,,12.00695164,19,1,,,17,,1,,,,,20,,6,1.33,,,,,,,,,,,,1.8,2.3,23,290,,,,,,,0.1,,,1,,,,,,0.24353908,16.09763946,,23.4,,0,26.59304277
597,1901,,,,1,5,1,,,660,,1,,,,,20,,9,3.94,,,,,,,,,,,,4.8,110,11,570,,,,,,,0.45,,,1,,,,,,,2,,22.9,,7,1
598,1902,,,,1,81,1,,,541.5,,1,,,,,20,,3,3.174,,,,,,,,,,,,4.1,55.5,190,681.5,,,,,,,0.44,,,1,,,,,,,2,,25.3,,2.5,26
599,1905,,,,10,25.4,0.24,,,333,,2,,,,1025,4.2,,,,,17.8,,24.1,,,,,0.081,,,11.5,84.4,261,897,,,,,,,,,203,2.3,0.156,,0.368,,,10,5,,10.3,10,,33.3119403
600,1906,,,,0.420741291,,,,,,,0.138753959,,,,,0.226240813,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254304074,,,,,,0.227063941,31.53202934,,,,,17.31846557
601,1907,,296,,0.69,6.3,0.25,,,382,,0.5,,40.4,,5.44,0.5,,,,,32.3,,17.9,,,1300,1380,0.015,,,6.2,103.4,340,990,,,,,,0.05,0.05,,,1,0.236,,0.684,,0.92,0.5,2.4,,15.4,1,3.86,31
602,1908,,,,7.513287301,75,1,,,7,,1,,,,,20,,4,0.713,,,,,,,,,,,,1.2,0.5,16,200,,,,,,,0.1,,,1,,,,,,0.209766158,12.51894026,,22.8,,2,2.148235412
603,1910,,,,9,22,1,,,57,,1,,,,,20,,5,2.71,,,,,,,,,,,,3,14,2,500,,,,,,,38,,,1,,,,,,,31,,21.1,,-10,11
604,1913,,,,2,10,1,,,230,,1,,,,,20,,3,6.57,,,,,,,,,,,,10,9.4,49,1200,,,,,,,0.1,,,2,,,,,,,6,,26.5,,0,1
605,1918,,192,,1,12,1,,,225.6,,1,,17,,2440,20,,8,2.58,,28.1,,9.11,,,500,528,0.015,,,1.85,45.32,850,425,,,,,,0.05,0.1,,,1,0.062,,0.39,,0.452,0.5,1,,15.25,1,7.45,44
606,1943,,,,4,190,1,,,99,,1,,,,,20,,7,0.307,,,,,,,,,,,,2,7.6,7,25,,,,,,,0.1,,,1,,,,,,,6,,19.1,,1,4
607,1944,,,,2,330,1,,,150,,1,,,,,20,,4,0.468,,,,,,,,,,,,4.1,14,1500,40,,,,,,,0.1,,,1,,,,,,,1,,23.4,,5,4
608,1945,,,,1,23,1,,,220,,1,,,,,20,,3,0.791,,,,,,,,,,,,7,52,330,29,,,,,,,0.1,,,1,,,,,,0.216068325,13.99752946,,22.9,,15,1.322689458
609,1946,,,,1,100,1,,,65,,1,,,,,20,,6,0.327,,,,,,,,,,,,7.3,12,2,35,,,,,,,0.94,,,1,,,,,,,5,,23.6,,1,17
610,1948,,,,4,70,1,,,19,,1,,,,,20,,9,0.537,,,,,,,,,,,,9.9,4.6,100,130,,,,,,,0.1,,,1,,,,,,,2,,21.7,,17,9
611,1953,,,,1,26,1,,,110,,1,,,,,20,,6,0.401,,,,,,,,,,,,8.8,26,9,15,,,,,,,0.31,,,1,,,,,,,3,,26.3,,0,4
612,1954,,,,1,110,1,,,120,,1,,,,,20,,6,0.284,,,,,,,,,,,,3.5,9.3,2,10,,,,,,,0.54,,,1,,,,,,,4,,24.8,,0,9
613,1959,,,,1,63,1,,,64,,1,,,,,20,,6,0.302,,,,,,,,,,,,3,5.8,4,44,,,,,,,0.63,,,1,,,,,,0.257161432,24.37476212,,24.7,,-10,6.654371319
614,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,,,
615,1966,,,,1,20,1,,,88,,1,,,,,20,,6,0.662,,,,,,,,,,,,5.2,15,3,120,,,,,,,0.1,,,1,,,,,,,1,,19.8,,2,6
616,1967,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,
618,1969,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,1970,,,,4,11,1,,,420,,1.5,,,,,20,,5,6.56,,,,,,,,,,,,11,17,44,1400,,,,,,,0.1,,,1,,,,,,0.298582283,33.88007583,,23.2,,1,1
620,1972,,,,1.004857236,,,,,,,0.138753959,,,,,1.121743525,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066418355,,,,,,0.257356963,13.88816169,,,,,0.670034649
621,1977,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,1981,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,1982,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,1983,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,1984,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
